,,Robust,,,,
logprice,Coef.,Std. Err.,t    P>t,,[95% Conf.,Interval]
,,,,,,
hwvicinitypost1,-0.1277072,0.0979581,-2.22   0.026,,-0.4097016,-0.0257127
383,1.599227,0.0862127,18.55   0.000,,1.430253,1.768201
384,2.083398,0.0853222,24.42   0.000,,1.91617,2.250627
385,2.311883,0.0897718,25.75   0.000,,2.135934,2.487833
386,2.386788,0.089381,26.70   0.000,,2.211605,2.561972
387,2.19592,0.0927653,23.67   0.000,,2.014103,2.377737
388,1.900611,0.0886951,21.43   0.000,,1.726772,2.07445
389,1.844468,0.0860029,21.45   0.000,,1.675906,2.013031
390,1.638213,0.0861927,19.01   0.000,,1.469278,1.807147
391,1.6777,0.0845543,19.84   0.000,,1.511976,1.843423
392,1.763589,0.0844383,20.89   0.000,,1.598093,1.929085
393,1.759376,0.0851899,20.65   0.000,,1.592407,1.926346
394,2.028588,0.0882708,22.98   0.000,,1.85558,2.201595
395,2.052524,0.094378,21.75   0.000,,1.867547,2.237502
396,2.190299,0.0929061,23.58   0.000,,2.008206,2.372391
397,2.130198,0.1048208,20.32   0.000,,1.924752,2.335643
398,2.37977,0.1176415,20.23   0.000,,2.149197,2.610343
399,2.320057,0.1470821,15.77   0.000,,2.031781,2.608332
400,2.442924,0.1380865,17.69   0.000,,2.172279,2.713568
401,1.468095,0.1328581,11.05   0.000,,1.207697,1.728492
402,1.850336,0.1213858,15.24   0.000,,1.612424,2.088248
403,2.18273,0.1183792,18.44   0.000,,1.950711,2.414749
404,2.337938,0.1223672,19.11   0.000,,2.098103,2.577773
